comment,SCREEN,CAMERA,FEATURES,BATTERY,PERFORMANCE,STORAGE,DESIGN,PRICE,GENERAL,SER&ACC
"Máy ok, k chê điểm nào, chính thức là fans ViVo
Mọi chức năng đều như ý mình mong muốn
Lần đầu tiên xài thử vivo",0,0,0,0,0,0,0,0,3,3
"Mới sài được 3 ngày sản phẩm thì khá là ok , lỗi thì chưa thấy nhưng chỉ có cái nghe gọi thì loa hơi nhỏ phải bật loa ngoài mới nghe được , chụp hình thì đẹp rõ chơi game thì đối với liên quân nha , lúc không giao tranh thì mạng hơi cao nhưng lúc giao tranh chỉ 8ms hoặc ít hơn , còn bubg thì mượt bắn thì khá là đc mạng thì không cao lắm mua tầm giá này chắc là ok pin sài thì 2 ngày sạc 1 lần có chơi game đấy , 1 trận liên quân mấy chục phút mà tuột có 4-5℅ pin thì khá là ok 👌",0,3,1,3,2,0,0,0,3,0
Dùng tốt chơi game bao mượt không nóng như lời đồn pin trâu nói chung là tốt rất hài lòng nhân viên vui vẻ nhiệt tình ok..,0,0,0,3,3,0,0,0,3,3
"Có ai giống mh kg, mh mua ip 7 plus , mấy bị hở viền bên phải. Xong đem máy ra dc đợi lại cái mới. Cái mới bóc ra cùng bị hở nữa những nhẹ hơn cái trước. Máy mấy b xem coi có ai mua bị hở giống mh kg. Buồn thiệt chứ. Đã z mấy còn kêu ọp ẹp khi vận động mạnh. Không biết có ảnh hướng gì về chất lượng máy hok.xài lâu dài hok bịt sao nữa",0,0,0,0,0,0,1,0,0,0
Ko bjk ngày mai có ra đổi đc ko đây. Mới mua hqua dùng có mùi cháy khet của linh kiện.  Dùng càng lâu mùi khét càng nặng. Jo ko dám dùng luôn. Chưa bjo dùng đt mà lo sợ vãi,0,0,0,0,1,0,0,0,0,0
"Sản phẩm rất tốt , mượt mà , pin quá trâu , camera đẹp , chỉ mổi tội không được trang màn hình super amoled , thích cái màn super amoled vì màu đen của nó quá sâu cực sâu lunk",1,3,0,3,3,0,0,0,3,0
"Tôi hiện đang dùng Sam sung S20 Plus (đổi từ Samsung S7 edge khi Hoàng Hà mobile phối hợp Samsung đổi máy cũ lên mới). Qua gần 2 tháng dùng ss20+, gặp vấn đề 3 lần bị treo đơ máy, ảnh chụp khá đẹp nhưng khi đưa ảnh chụp vào lưu trữ khá chậm và ko hơn gì con s7egd cũ của tôi là bao.",0,2,0,0,1,0,0,0,0,0
máy chạy rất tốt hàng rất đản bảo các bạn nhân viên phục vụ rất nhiệt tình tôi thấy rất ưng ý,0,0,0,0,0,0,0,0,3,3
"Mình mới mua A51 được vài ngày,theo mình cảm nhận.
1 máy giá hơi cao so với giá trị của máy
2 pin xài rất kém chưa đến 1 ngày đả hết pin dù chỉ đọc báo.
3 camera quá tệ đúng ra 4 camera mà chụp hình như có 1 camera.
4 xài chút xíu dt sẻ nóng lên ở sao lưng dt.
Tóm lại A51 thật sự thất vọng đối với mình!",0,1,0,1,1,0,0,1,1,0
"Mình hay mua máy ở tgdd vì máy ở đây bảo đảm và nhân viên phục vụ nhiệt tình. Lần này ra mua con 9s này là đã có điềm rồi. Lúc đầu lấy máy màu xanh bật nguồn ngồi đợi đến 15p máy ko lên luôn, xong đổi ra con máy màu xám. Bật cái lên trong vòng 5 đến 10 giây. Cảm thấy hài lòng và nhận máy đi về. Về xài mới thấy máy hay bị đơ quá. Đang chơi game nặng 1 xíu là đơ máy luôn. Không nhẽ lại ra trả chấp nhận chịu lỗ tiền vậy. Buồn cho ẻm này quá",0,0,0,0,1,0,2,0,1,3
"Em sài gần 48 tiếng bây h nó vẫn còn pin
Em dùng tiktok YouTube Facebook game message đủ thứ  
Sạc nhanh
Chơi game rất đã tay
Nên mua em này",0,0,0,3,3,0,0,0,3,0
Dùng đc 1 tháng thì lỗi máy ảnh trầm trọng .phải khởi động lại mới dùng được .quá bất tiện .quá phí tiền,0,1,0,0,0,0,0,1,1,0
"Cái này có chống nước với chống bụi không, cái này với cái s10 lite cái nào sài ngon hơn",0,0,0,0,0,0,0,0,0,0
Máy nhìn chung OK chip mạnh chụp hình đẹp sắc siêu nhanh. Máy năng cầm chắc tay. Ai bình luận sao chứ mình thấy quá tuyệt vời. Không có điểm trừ sở.,0,3,0,0,3,0,3,0,3,0
Mới mua về dùng đã lắm loa to dùng mượt chơi game thì hết chê luôn.nói chung là ok,0,0,3,0,3,0,0,0,3,0
Sài 2 ngày chưa hết pin. Tìm điểm chê khó luôn ^^ ko có ghi âm cuộc gọi,0,0,1,3,0,0,0,0,3,0
"Sản phẩm tệ, không như mô tả. Nhiều lỗi nhỏ nói nhân viên chỉ hoài mà không hết. Cảm thấy không đáng mua.",0,0,0,0,0,0,0,0,1,1
"Có hiện tượng tự khởi động lại, gọi điện thoại bĩ rè, vọng, lẫn tạp âm bên ngoài quá lớn",0,0,1,0,1,0,0,0,0,0
"Camera chụp đẹp nhân viên phục vụ nhiệt tình vui vẽ, tiếc cái bộ quà tặng k có liên phải đợi",0,3,0,0,0,0,0,0,0,2
Sp dùng rất tốt trong tầm giá tầm 2tr. Các tác vụ rất tốt không thua gì các máy tầm trung khác,0,0,1,0,0,0,0,2,3,0
